tick_id,rss_bytes
1,1001570304
2,1001648128
3,1001852928
4,1001852928
5,1001852928
6,1002291200
7,1003364352
8,1003970560
9,1004969984
10,1004998656
11,1004998656
12,1005170688
13,1005170688
14,1005223936
15,1005637632
16,1005637632
17,1005637632
18,1005875200
19,1006170112
20,1007194112
21,1007194112
22,1007194112
23,1007194112
24,1007194112
25,1007431680
26,1007435776
27,1007435776
28,1007435776
29,1007435776
30,1007599616
31,1007919104
32,1007919104
33,1007923200
34,1007972352
35,1007972352
36,1006718976
37,1006878720
38,1007247360
39,1007493120
40,1007751168
41,1007763456
42,1007775744
43,1007775744
44,1008087040
45,1008340992
46,1008345088
47,1008345088
48,1008435200
49,1008586752
50,1008627712
51,1008721920
52,1008775168
53,1009668096
54,1009627136
55,1009672192
56,1009664000
57,1009803264
58,1009815552
59,1009934336
60,1009934336
61,1009934336
62,1009934336
63,1009999872
64,1010057216
65,1010065408
66,1010081792
67,1010081792
68,1010106368
69,1010106368
70,1010106368
71,1010106368
72,1010106368
73,1010106368
74,1010720768
75,1010880512
76,1011019776
77,1013850112
78,1013932032
79,1013932032
80,1013944320
81,1014042624
82,1014779904
83,1014968320
84,1014968320
85,1014968320
86,1014984704
87,1014984704
88,1014984704
89,1014992896
90,1014992896
91,1014992896
92,1014992896
93,1014992896
94,1014992896
95,1014992896
96,1014992896
97,1014992896
98,1014992896
99,1014992896
100,1014992896
101,1014992896
102,1014992896
103,1014992896
104,1014992896
105,1014992896
106,1014996992
107,1014996992
108,1015013376
109,1015144448
110,1015144448
111,1015152640
112,1015160832
113,1015177216
114,1015177216
115,1015177216
116,1015177216
117,1015177216
118,1015177216
119,1015177216
120,1015177216
121,1015177216
122,1015177216
123,1015177216
124,1015177216
125,1015123968
126,1015123968
127,1015123968
128,1015123968
129,1015123968
130,1015123968
131,1015123968
132,1015156736
133,1015316480
134,1015316480
135,1015316480
136,1015332864
137,1015332864
138,1015332864
139,1015332864
140,1015345152
141,1015365632
142,1015496704
143,1015496704
144,1015496704
145,1015513088
146,1015513088
147,1015513088
148,1015513088
149,1015513088
150,1015517184
151,1015517184
152,1015517184
153,1015517184
154,1015517184
155,1015627776
156,1016147968
157,1016147968
158,1016274944
159,1016303616
160,1016426496
161,1016442880
162,1016496128
163,1016496128
164,1016516608
165,1016967168
166,1016995840
167,1017184256
168,1017294848
169,1017344000
170,1017360384
171,1018146816
172,1018146816
173,1018159104
174,1018171392
175,1018179584
176,1018187776
177,1018179584
178,1018212352
179,1018286080
180,1018519552
181,1018527744
182,1018544128
183,1018544128
184,1018544128
185,1018544128
186,1018548224
187,1018552320
188,1018511360
189,1018535936
190,1018589184
191,1018589184
192,1018597376
193,1018597376
194,1018576896
195,1018675200
196,1018687488
197,1018703872
198,1018732544
199,1018703872
200,1018703872
201,1018703872
202,1018703872
203,1018703872
204,1018703872
205,1018712064
206,1018712064
207,1018712064
208,1018712064
209,1018712064
210,1018712064
211,1018712064
212,1018712064
213,1018712064
214,1018740736
215,1019035648
216,1019035648
217,1019035648
218,1019035648
219,1019035648
220,1019056128
221,1019060224
222,1019060224
223,1019060224
224,1019060224
225,1019060224
226,1019060224
227,1019060224
228,1019060224
229,1019060224
230,1019060224
231,1019060224
232,1019060224
233,1019060224
234,1019060224
235,1019060224
236,1019060224
237,1019072512
238,1019072512
239,1019072512
240,1019072512
241,1019072512
242,1019072512
243,1019072512
244,1019072512
245,1019113472
246,1019117568
247,1019117568
248,1019129856
249,1019285504
250,1019285504
251,1019285504
252,1019285504
253,1019285504
254,1019289600
255,1019289600
256,1019289600
257,1019314176
258,1019523072
259,1019682816
260,1019682816
261,1019682816
262,1019691008
263,1019691008
264,1019691008
265,1019691008
266,1019691008
267,1019691008
268,1019691008
269,1019691008
270,1019695104
271,1019695104
272,1019858944
273,1019858944
274,1019858944
275,1019858944
276,1019875328
277,1019875328
278,1019879424
279,1019879424
280,1019879424
281,1019879424
282,1019879424
283,1019879424
284,1019879424
285,1019887616
286,1019891712
287,1019891712
288,1019879424
289,1019879424
290,1019879424
291,1019879424
292,1019879424
293,1019883520
294,1019883520
295,1019891712
296,1019891712
297,1019891712
298,1019891712
299,1019891712
300,1019891712
301,1019940864
302,1019940864
303,1019940864
304,1019940864
305,1019949056
306,1019949056
307,1020116992
308,1020116992
309,1020116992
310,1020116992
311,1020116992
312,1020116992
313,1020116992
314,1020116992
315,1020116992
316,1020329984
317,1020338176
318,1020338176
319,1020338176
320,1020338176
321,1020338176
322,1020338176
323,1020338176
324,1020338176
325,1020338176
326,1020338176
327,1020338176
328,1020338176
329,1020338176
330,1020338176
331,1020338176
332,1020338176
333,1020338176
334,1020338176
335,1020354560
336,1020354560
337,1020358656
338,1020358656
